ts_exchange,price,size,trade_id,cond
2025-11-19T09:30:00,180.012,160,AAPL-2025-11-19-0,N
2025-11-19T09:30:05,180.036,170,AAPL-2025-11-19-1,N
2025-11-19T09:30:10,180.063,186,AAPL-2025-11-19-2,N
2025-11-19T09:30:15,180.001,150,AAPL-2025-11-19-3,N
2025-11-19T09:30:20,179.986,268,AAPL-2025-11-19-4,N
2025-11-19T09:30:25,180.018,281,AAPL-2025-11-19-5,N
2025-11-19T09:30:30,180.078,173,AAPL-2025-11-19-6,N
2025-11-19T09:30:35,180.071,179,AAPL-2025-11-19-7,N
2025-11-19T09:30:40,180.047,107,AAPL-2025-11-19-8,N
2025-11-19T09:30:45,180.046,135,AAPL-2025-11-19-9,N
2025-11-19T09:30:50,180.045,305,AAPL-2025-11-19-10,N
2025-11-19T09:30:55,180.027,209,AAPL-2025-11-19-11,N
2025-11-19T09:31:00,180.06,214,AAPL-2025-11-19-12,N
2025-11-19T09:31:05,180.07,181,AAPL-2025-11-19-13,N
2025-11-19T09:31:10,180.062,151,AAPL-2025-11-19-14,N
2025-11-19T09:31:15,180.092,112,AAPL-2025-11-19-15,N
2025-11-19T09:31:20,180.127,129,AAPL-2025-11-19-16,N
2025-11-19T09:31:25,180.162,182,AAPL-2025-11-19-17,N
2025-11-19T09:31:30,180.117,228,AAPL-2025-11-19-18,N
2025-11-19T09:31:35,180.151,178,AAPL-2025-11-19-19,N
2025-11-19T09:31:40,180.177,85,AAPL-2025-11-19-20,N
2025-11-19T09:31:45,180.129,264,AAPL-2025-11-19-21,N
2025-11-19T09:31:50,180.121,106,AAPL-2025-11-19-22,N
2025-11-19T09:31:55,180.096,153,AAPL-2025-11-19-23,N
2025-11-19T09:32:00,180.09,181,AAPL-2025-11-19-24,N
2025-11-19T09:32:05,180.097,196,AAPL-2025-11-19-25,N
2025-11-19T09:32:10,180.145,221,AAPL-2025-11-19-26,N
2025-11-19T09:32:15,180.162,258,AAPL-2025-11-19-27,N
2025-11-19T09:32:20,180.148,136,AAPL-2025-11-19-28,N
2025-11-19T09:32:25,180.191,206,AAPL-2025-11-19-29,N
2025-11-19T09:32:30,180.196,168,AAPL-2025-11-19-30,N
2025-11-19T09:32:35,180.174,242,AAPL-2025-11-19-31,N
2025-11-19T09:32:40,180.21,239,AAPL-2025-11-19-32,N
2025-11-19T09:32:45,180.238,228,AAPL-2025-11-19-33,N
2025-11-19T09:32:50,180.243,191,AAPL-2025-11-19-34,N
2025-11-19T09:32:55,180.287,181,AAPL-2025-11-19-35,N
2025-11-19T09:33:00,180.3,159,AAPL-2025-11-19-36,N
2025-11-19T09:33:05,180.276,188,AAPL-2025-11-19-37,N
2025-11-19T09:33:10,180.247,239,AAPL-2025-11-19-38,N
2025-11-19T09:33:15,180.199,204,AAPL-2025-11-19-39,N
2025-11-19T09:33:20,180.203,109,AAPL-2025-11-19-40,N
