ts_exchange,price,size,trade_id,cond
2025-11-20T09:30:00,300.03,193,00700.HK-2025-11-20-0,N
2025-11-20T09:30:05,300.069,276,00700.HK-2025-11-20-1,N
2025-11-20T09:30:10,300.055,188,00700.HK-2025-11-20-2,N
2025-11-20T09:30:15,300.149,238,00700.HK-2025-11-20-3,N
2025-11-20T09:30:20,300.121,227,00700.HK-2025-11-20-4,N
2025-11-20T09:30:25,300.093,176,00700.HK-2025-11-20-5,N
2025-11-20T09:30:30,300.108,104,00700.HK-2025-11-20-6,N
2025-11-20T09:30:35,300.004,171,00700.HK-2025-11-20-7,N
2025-11-20T09:30:40,299.944,215,00700.HK-2025-11-20-8,N
2025-11-20T09:30:45,299.889,129,00700.HK-2025-11-20-9,N
2025-11-20T09:30:50,299.977,188,00700.HK-2025-11-20-10,N
2025-11-20T09:30:55,299.981,128,00700.HK-2025-11-20-11,N
2025-11-20T09:31:00,299.948,205,00700.HK-2025-11-20-12,N
2025-11-20T09:31:05,299.879,218,00700.HK-2025-11-20-13,N
2025-11-20T09:31:10,299.843,185,00700.HK-2025-11-20-14,N
2025-11-20T09:31:15,299.807,292,00700.HK-2025-11-20-15,N
2025-11-20T09:31:20,299.806,147,00700.HK-2025-11-20-16,N
2025-11-20T09:31:25,299.856,138,00700.HK-2025-11-20-17,N
2025-11-20T09:31:30,299.868,102,00700.HK-2025-11-20-18,N
2025-11-20T09:31:35,299.789,209,00700.HK-2025-11-20-19,N
2025-11-20T09:31:40,299.833,208,00700.HK-2025-11-20-20,N
2025-11-20T09:31:45,299.826,184,00700.HK-2025-11-20-21,N
2025-11-20T09:31:50,299.737,164,00700.HK-2025-11-20-22,N
2025-11-20T09:31:55,299.71,252,00700.HK-2025-11-20-23,N
2025-11-20T09:32:00,299.73,111,00700.HK-2025-11-20-24,N
2025-11-20T09:32:05,299.75,180,00700.HK-2025-11-20-25,N
2025-11-20T09:32:10,299.709,230,00700.HK-2025-11-20-26,N
2025-11-20T09:32:15,299.771,246,00700.HK-2025-11-20-27,N
2025-11-20T09:32:20,299.721,184,00700.HK-2025-11-20-28,N
2025-11-20T09:32:25,299.741,248,00700.HK-2025-11-20-29,N
2025-11-20T09:32:30,299.712,190,00700.HK-2025-11-20-30,N
2025-11-20T09:32:35,299.645,140,00700.HK-2025-11-20-31,N
2025-11-20T09:32:40,299.694,267,00700.HK-2025-11-20-32,N
2025-11-20T09:32:45,299.69,250,00700.HK-2025-11-20-33,N
2025-11-20T09:32:50,299.712,167,00700.HK-2025-11-20-34,N
2025-11-20T09:32:55,299.733,276,00700.HK-2025-11-20-35,N
2025-11-20T09:33:00,299.731,278,00700.HK-2025-11-20-36,N
2025-11-20T09:33:05,299.574,241,00700.HK-2025-11-20-37,N
2025-11-20T09:33:10,299.579,185,00700.HK-2025-11-20-38,N
2025-11-20T09:33:15,299.585,100,00700.HK-2025-11-20-39,N
2025-11-20T09:33:20,299.572,217,00700.HK-2025-11-20-40,N
2025-11-20T09:33:25,299.66,174,00700.HK-2025-11-20-41,N
2025-11-20T09:33:30,299.612,174,00700.HK-2025-11-20-42,N
2025-11-20T09:33:35,299.666,216,00700.HK-2025-11-20-43,N
2025-11-20T09:33:40,299.635,225,00700.HK-2025-11-20-44,N
2025-11-20T09:33:45,299.641,248,00700.HK-2025-11-20-45,N
2025-11-20T09:33:50,299.598,183,00700.HK-2025-11-20-46,N
2025-11-20T09:33:55,299.575,126,00700.HK-2025-11-20-47,N
2025-11-20T09:34:00,299.593,213,00700.HK-2025-11-20-48,N
2025-11-20T09:34:05,299.593,188,00700.HK-2025-11-20-49,N
2025-11-20T09:34:10,299.508,178,00700.HK-2025-11-20-50,N
2025-11-20T09:34:15,299.488,159,00700.HK-2025-11-20-51,N
2025-11-20T09:34:20,299.478,220,00700.HK-2025-11-20-52,N
2025-11-20T09:34:25,299.591,208,00700.HK-2025-11-20-53,N
2025-11-20T09:34:30,299.606,196,00700.HK-2025-11-20-54,N
2025-11-20T09:34:35,299.491,198,00700.HK-2025-11-20-55,N
2025-11-20T09:34:40,299.495,323,00700.HK-2025-11-20-56,N
2025-11-20T09:34:45,299.484,215,00700.HK-2025-11-20-57,N
2025-11-20T09:34:50,299.481,141,00700.HK-2025-11-20-58,N
2025-11-20T09:34:55,299.55,237,00700.HK-2025-11-20-59,N
2025-11-20T09:35:00,299.597,154,00700.HK-2025-11-20-60,N
2025-11-20T09:35:05,299.681,129,00700.HK-2025-11-20-61,N
2025-11-20T09:35:10,299.717,309,00700.HK-2025-11-20-62,N
2025-11-20T09:35:15,299.657,171,00700.HK-2025-11-20-63,N
2025-11-20T09:35:20,299.663,174,00700.HK-2025-11-20-64,N
2025-11-20T09:35:25,299.57,203,00700.HK-2025-11-20-65,N
2025-11-20T09:35:30,299.507,223,00700.HK-2025-11-20-66,N
2025-11-20T09:35:35,299.451,277,00700.HK-2025-11-20-67,N
2025-11-20T09:35:40,299.405,183,00700.HK-2025-11-20-68,N
2025-11-20T09:35:45,299.453,138,00700.HK-2025-11-20-69,N
2025-11-20T09:35:50,299.467,265,00700.HK-2025-11-20-70,N
2025-11-20T09:35:55,299.371,209,00700.HK-2025-11-20-71,N
2025-11-20T09:36:00,299.386,239,00700.HK-2025-11-20-72,N
2025-11-20T09:36:05,299.312,133,00700.HK-2025-11-20-73,N
2025-11-20T09:36:10,299.343,214,00700.HK-2025-11-20-74,N
2025-11-20T09:36:15,299.358,217,00700.HK-2025-11-20-75,N
2025-11-20T09:36:20,299.318,211,00700.HK-2025-11-20-76,N
2025-11-20T09:36:25,299.335,164,00700.HK-2025-11-20-77,N
2025-11-20T09:36:30,299.447,223,00700.HK-2025-11-20-78,N
2025-11-20T09:36:35,299.376,232,00700.HK-2025-11-20-79,N
2025-11-20T09:36:40,299.317,239,00700.HK-2025-11-20-80,N
2025-11-20T09:36:45,299.387,158,00700.HK-2025-11-20-81,N
